NCBI locus Tag	Old locus tag	Assignedcategory
SALWKB2_RS00040	SALWKB2_0009	Adhesion
SALWKB2_RS00800	SALWKB2_0149	Adhesion
SALWKB2_RS01120	SALWKB2_0213	Adhesion
SALWKB2_RS01125	SALWKB2_0214	Adhesion
SALWKB2_RS01225	SALWKB2_0232	Adhesion
SALWKB2_RS02335	SALWKB2_0458	Adhesion
SALWKB2_RS04975	NA	Adhesion
SALWKB2_RS05475	SALWKB2_1080	Adhesion
SALWKB2_RS05480	SALWKB2_1081	Adhesion
SALWKB2_RS06170	SALWKB2_1220	Adhesion
SALWKB2_RS06650	SALWKB2_1307	Adhesion
SALWKB2_RS07430	SALWKB2_1462	Adhesion
SALWKB2_RS07815	SALWKB2_1542	Adhesion
SALWKB2_RS09170	SALWKB2_1822	Adhesion
SALWKB2_RS11470	SALWKB2_2297	Adhesion
SALWKB2_RS11660	NA	Adhesion
SALWKB2_RS07905	SALWKB2_1560	Alcoholdehydrogenase(FDH-like)
SALWKB2_RS07570	SALWKB2_1489	Aminoacid&pyrimidinebiosynthesis
SALWKB2_RS07580	SALWKB2_1491	Aminoacid&pyrimidinebiosynthesis
SALWKB2_RS04955	SALWKB2_0981	Aminoacid&vitaminB6biosynthesis
SALWKB2_RS01435	SALWKB2_0270	Aminoacid&vitaminB9biosynthesis
SALWKB2_RS00150	SALWKB2_0032	Aminoacidbiosynthesis
SALWKB2_RS00160	SALWKB2_0034	Aminoacidbiosynthesis
SALWKB2_RS00335	SALWKB2_0065	Aminoacidbiosynthesis
SALWKB2_RS01370	SALWKB2_0258	Aminoacidbiosynthesis
SALWKB2_RS02115	SALWKB2_0412	Aminoacidbiosynthesis
SALWKB2_RS02270	SALWKB2_0444	Aminoacidbiosynthesis
SALWKB2_RS02855	SALWKB2_0553	Aminoacidbiosynthesis
SALWKB2_RS03785	SALWKB2_0746	Aminoacidbiosynthesis
SALWKB2_RS03885	SALWKB2_0765	Aminoacidbiosynthesis
SALWKB2_RS04155	SALWKB2_0822	Aminoacidbiosynthesis
SALWKB2_RS04170	SALWKB2_0825	Aminoacidbiosynthesis
SALWKB2_RS04370	SALWKB2_0868	Aminoacidbiosynthesis
SALWKB2_RS04690	SALWKB2_0932	Aminoacidbiosynthesis
SALWKB2_RS05150	SALWKB2_1014	Aminoacidbiosynthesis
SALWKB2_RS05170	SALWKB2_1018	Aminoacidbiosynthesis
SALWKB2_RS05205	SALWKB2_1025	Aminoacidbiosynthesis
SALWKB2_RS05345	SALWKB2_1053	Aminoacidbiosynthesis
SALWKB2_RS05545	SALWKB2_1092	Aminoacidbiosynthesis
SALWKB2_RS05550	SALWKB2_1093	Aminoacidbiosynthesis
SALWKB2_RS06000	SALWKB2_1186	Aminoacidbiosynthesis
SALWKB2_RS06005	SALWKB2_1187	Aminoacidbiosynthesis
SALWKB2_RS06010	SALWKB2_1188	Aminoacidbiosynthesis
SALWKB2_RS06240	SALWKB2_1234	Aminoacidbiosynthesis
SALWKB2_RS06320	SALWKB2_1248	Aminoacidbiosynthesis
SALWKB2_RS06610	SALWKB2_1303	Aminoacidbiosynthesis
SALWKB2_RS06830	SALWKB2_1345	Aminoacidbiosynthesis
SALWKB2_RS07055	SALWKB2_1388	Aminoacidbiosynthesis
SALWKB2_RS07060	SALWKB2_1391	Aminoacidbiosynthesis
SALWKB2_RS07065	SALWKB2_1392	Aminoacidbiosynthesis
SALWKB2_RS07165	SALWKB2_1413	Aminoacidbiosynthesis
SALWKB2_RS07455	SALWKB2_1467	Aminoacidbiosynthesis
SALWKB2_RS08500	SALWKB2_1686	Aminoacidbiosynthesis
